Plasmid	Evidence	Property	Source	Genome Name	PATRIC ID	Source ID	Source Organism	Gene	Product	Function	Classification	PubMed	Subject Coverage	Query Coverage	Identity	E-value
pVA172-90	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.27	AAK70220.1	Klebsiella pneumoniae	KPC-2	"Class A beta-lactamase (EC 3.5.2.6) => KPC family, carbapenem-hydrolyzing"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA172-90	BLAT	Transporter	TCDB	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.30	Q46706	"Escherichia coli, and Salmonella typhimurium"		ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	the type iv (conjugal dna-protein transfer or virb) secretory pathway (ivsp) family.	3.A.7.6.1	15963296;16027145;16820486;7891554;8029323	100	100	99	1e-189
pVA172-90	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.18	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		41	88	99	3e-60
pVA172-90	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.26			TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	Class A beta-lactamase (EC 3.5.2.6) => TEM family	antibiotic inactivation enzyme	11585791				
pVA172-90	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.31	Q46705	Escherichia coli	traF	"Inner membrane protein of type IV secretion of T-DNA complex, TonB-like, VirB10"	Lauryl Dimethylamine-N-Oxide	Drug target		100	100	97	1e-214
pVA172-90	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.61	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA172-90	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.16			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA172-90	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.26	P62593	Escherichia coli	bla	Class A beta-lactamase (EC 3.5.2.6) => TEM family	"Benzylpenicillin;1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid;[[N-(Benzyloxycarbonyl)Amino]Methyl]Phosphate;[(2-Ethoxy-1-Naphthoyl)Amino]Methylboronic Acid;Pinacol[[2-Amino-Alpha-(1-Carboxy-1-Methylethoxyimino)-4-Thiazoleacetyl]Amino]Methaneboronate;N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine;3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile;1(R)-1-ACETAMIDO-2-(3-CARBOXY-2-HYDROXYPHENYL)ETHYL BORONIC ACID;(1R)-2-PHENYLACETAMIDO-2-(3-CARBOXYPHENYL)ETHYL BORONIC ACID;[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID;(1R)-1-(2-THIENYLACETYLAMINO)-1-(3-CARBOXYPHENYL)METHYLBORONIC ACID;Avibactam"	Drug target		66	87	99	1e-104
pVA172-90	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA172-90	fig|573.39893.peg.60	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.93			APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	antibiotic inactivation enzyme	2167474;2653965;16954315				
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.93	ABK33456.1	Pseudomonas aeruginosa	APH(3'')-Ib	Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-156
pVA564-179	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.149	218534560	Escherichia coli S88 	traT	IncF plasmid conjugative transfer surface exclusion protein TraT			3323837	86	98	87	1e-114
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.38	B7L5V2	Escherichia coli (strain 55989 / EAEC)		"Cell wall endopeptidase, family M23/M37"	the bacillus gap junction-like channel-forming complex (gj-cc) family.	1.A.34.1.3		99	99	99	1e-136
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.105	CAA38525.1	Escherichia coli	AAC(3)-IIc	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	95	1e-159
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.43	Q47455	Escherichia coli		Copper resistance protein CopD	the copper resistance (copd) family.	9.B.62.1.1	8594334	100	100	99	1e-171
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.31	Q9ZHD2	Salmonella typhimurium		"Copper/silver efflux RND transporter, outer membrane protein CusC"	the outer membrane factor (omf) family.	1.B.17.3.4	9930866	100	89	99	1e-259
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.109	WP_063839878.1	Serratia marcescens		Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating	MULTISPECIES: class A beta-lactamase TEM-156			42	97	98	1e-107
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.98			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.94	WP_000480968.1	Bacteria		Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	MULTISPECIES: aminoglycoside O-phosphotransferase APH(6)-Id			100	100	100	1e-161
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.105			"AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	antibiotic inactivation enzyme	1960117;1354954;18467306;1649572;20387903;6318050;19709289;2060791;8257126;19949054;2060791;10639379				
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.34	Q9ZHC9	Salmonella typhimurium		"Copper/silver efflux RND transporter, transmembrane protein CusA"	the resistance-nodulation-cell division (rnd) superfamily.	2.A.6.1.3	9930866	100	100	98	0.0
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.114			"folA, Dfr"	Dihydrofolate reductase (EC 1.5.1.3)	Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.98	AAL02127.1	Escherichia coli	CTX-M-15	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-161
pVA564-179	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.59	P08692	Escherichia coli	arsC	"Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family"	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	95	6e-72
pVA564-179	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.242	228931267	Salmonella enterica subsp. enterica serovar Typhimurium	sopA	Chromosome (plasmid) partitioning protein ParA			12065528	100	100	97	1e-225
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.36	Q9ZHC7	Salmonella typhimurium		"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"	the p-type atpase (p-atpase) superfamily.	3.A.3.5.4	9930866	88	89	96	0.0
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.108			OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	antibiotic inactivation enzyme					
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.109	ABC17627.1	Escherichia coli	AAC(6')-Ib-cr	Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating		"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene"		100	100	100	1e-112
pVA564-179	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.108	P13661	Escherichia coli	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	Lysine Nz-Carboxylic Acid	Drug target		100	94	100	1e-158
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.114	ACI32877.1	Escherichia coli	dfrA14	Dihydrofolate reductase (EC 1.5.1.3)		"antibiotic target replacement protein,trimethoprim resistance gene"		97	99	99	1e-87
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.60	P0AB93	Escherichia coli		Arsenite/antimonite:H+ antiporter ArsB	the arsenite-antimonite (arsab) efflux family.	3.A.4.1.1	1535622;15919996;16738553;1704144;3021763;7721697;8041620;9278503	100	100	93	1e-230
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.98	WP_000239590.1	Bacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-15			100	100	100	1e-161
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.105	WP_000557452.1	Bacteria		"Aminoglycoside N(3)-acetyltransferase (EC 2.3.1.81) => AAC(3)-II,III,IV,VI,VIII,IX,X"	MULTISPECIES: aminoglycoside N-acetyltransferase AAC(3)-IIa			100	100	100	1e-167
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.114	WP_021529707.1	Enterobacteriaceae		Dihydrofolate reductase (EC 1.5.1.3)	MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA14			100	100	99	3e-88
pVA564-179	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.41	Q47453	Escherichia coli		Copper resistance protein B	the copper resistance putative porin (copb) family.	1.B.76.1.5		100	99	100	1e-174
pVA564-179	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.94			APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id	antibiotic inactivation enzyme	3889831;15722395				
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.92	WP_001043260.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul2			100	100	100	1e-148
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.94	AAC23556.1	Pseudomonas aeruginosa	APH(6)-Id	Aminoglycoside 6-phosphotransferase (EC 2.7.1.72) => APH(6)-Ic/APH(6)-Id		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	100	99	1e-160
pVA564-179	BLAT	Virulence Factor	PATRIC_VF	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.149	EC042_pAA071	Escherichia coli 042	traT	IncF plasmid conjugative transfer surface exclusion protein TraT		Serum resistance	1730875	92	98	86	1e-112
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.108	WP_001334766.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-1			100	94	100	1e-158
pVA564-179	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.93	WP_001082319.1	Bacteria		Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I	MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib			100	100	100	1e-157
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.108	AIA58911.1	Pseudomonas aeruginosa	OXA-1	Class D beta-lactamase (EC 3.5.2.6) => OXA-1 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-167
pVA564-179	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.98	Q9EXV5	Escherichia coli	blaUOE-1	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Avibactam	Drug target		100	100	100	1e-161
pVA564-179	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P1	fig|573.34551.peg.92	AAL59753.1	Vibrio cholerae	sul2	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein				100	100	100	1e-148
pVA564-63	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P2	fig|573.34550.peg.68	WP_012954666.1	Gammaproteobacteria		Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrB19			100	94	100	1e-124
pVA564-63	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P2	fig|573.34550.peg.68	ABG56269.1	Citrobacter freundii	QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10		"antibiotic target protection protein,fluoroquinolone resistance gene"		100	100	99	1e-130
pVA564-63	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P2	fig|573.34550.peg.68			QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	Pentapeptide repeat protein QnrB family => Quinolone resistance protein QnrB10	antibiotic target protection protein	17938184				
pVA564-37	BLAT	Transporter	TCDB	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.23	P32482	Pseudomonas aeruginosa		"Chloramphenicol resistance, MFS efflux pump => CmlA family"	the major facilitator superfamily (mfs).	2.A.1.2.3	1648560;1658833	99	95	99	1e-239
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.18	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.23	WP_012300772.1	Gammaproteobacteria		"Chloramphenicol resistance, MFS efflux pump => CmlA family"	MULTISPECIES: chloramphenicol efflux MFS transporter CmlA5			99	96	100	1e-241
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.13	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA564-37	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.13			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA564-37	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.23			CmlA family	"Chloramphenicol resistance, MFS efflux pump => CmlA family"	"Chloramphenicol resistance, MFS efflux pump => CmlA family"	efflux pump conferring antibiotic resistance	1648560;11959555 				
pVA564-37	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.21	P14489	Pseudomonas aeruginosa	bla	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	Meropenem;4-iodo-acetamido phenylboronic acid;Lysine Nz-Carboxylic Acid;7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid	"Drug enzyme,Drug target"		100	100	100	1e-151
pVA564-37	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.12	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		41	88	99	3e-60
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.12	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			41	88	99	3e-60
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.2	AMP35312.1	Enterobacter cloacae	vgaC	VapB protein (antitoxin to VapC)		efflux pump conferring antibiotic resistance		100	100	100	2e-37
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.24	AAC64366.1	Pseudomonas aeruginosa	arr-2	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"antibiotic inactivation enzyme,rifampin resistance gene"		100	64	100	3e-86
pVA564-37	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.14			CTX-M family	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	antibiotic inactivation enzyme	17289764				
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.12	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		41	88	99	3e-60
pVA564-37	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.21			OXA-10 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	antibiotic inactivation enzyme					
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.20	WP_001209508.1	Bacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1			100	96	100	1e-148
pVA564-37	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.18	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA564-37	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.19			QacE	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	efflux pump conferring antibiotic resistance					
pVA564-37	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.14	Q47066	Escherichia coli	bla	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Cephalothin Group;Cefotaxime Group;PCNOTAXIME GROUP	Drug target		100	100	99	1e-162
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.14	AAZ95872.1	Escherichia coli	CTX-M-2	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-162
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.19	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	100	100	6e-60
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.21	WP_000846390.1	Proteobacteria		Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family	MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-10			100	100	100	1e-151
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.18	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.20	YP_001715321.1	Acinetobacter baumannii AYE	aadA	Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)		"aminoglycoside resistance gene,antibiotic inactivation enzyme"		100	96	99	1e-147
pVA564-37	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.21	AAG45720.1	Escherichia coli	OXA-10	Class D beta-lactamase (EC 3.5.2.6) => OXA-10 family		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-151
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.14	WP_025368620.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-2			100	100	100	1e-162
pVA564-37	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae JAV3P3	fig|573.34549.peg.24	WP_000237816.1	Gammaproteobacteria		Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family)	MULTISPECIES: NAD(+)--rifampin ADP-ribosyltransferase Arr-2			100	64	100	3e-86
pVA564-33	K-mer Search	Antibiotic Resistance	PATRIC	Klebsiella pneumoniae JAV3P4	fig|573.34548.peg.53			H-NS	DNA-binding protein H-NS	DNA-binding protein H-NS	regulator modulating expression of antibiotic resistance genes	14973023				
pVA564-33	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV3P4	fig|573.34548.peg.12	187729977	Shigella boydii CDC 3083-94 	virB	hypothetical protein			8385666	100	99	98	1e-171
pVA564-33	BLAT	Virulence Factor	Victors	Klebsiella pneumoniae JAV3P4	fig|573.34548.peg.10	187729994	Shigella boydii CDC 3083-94 	virB	"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB11"			8385666	100	100	99	1e-199
pVA569-6	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.4	P0C002	Escherichia coli	sulI	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	Sulfacetamide	Drug target		100	100	100	1e-156
pVA569-6	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.4	AEJ33969.1	Vibrio fluvialis	sul1	Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein		"antibiotic target replacement protein,sulfonamide resistance gene"		100	100	100	1e-156
pVA569-6	BLAT	Antibiotic Resistance	CARD	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.6	AAZ95872.1	Escherichia coli	CTX-M-2	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"		"antibiotic inactivation enzyme,beta-lactam resistance gene"		100	100	100	1e-162
pVA569-6	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.5	WP_000679427.1	Bacteria		"Small multidrug resistance (SMR) efflux transporter => QacE delta 1, quaternary ammonium compounds"	MULTISPECIES: quaternary ammonium compound efflux SMR transporter QacE delta 1			100	34	100	6e-60
pVA569-6	BLAT	Drug Target	DrugBank	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.6	Q47066	Escherichia coli	bla	"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	Cephalothin Group;Cefotaxime Group;PCNOTAXIME GROUP	Drug target		100	100	99	1e-162
pVA569-6	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.6	WP_025368620.1	Gammaproteobacteria		"Class A beta-lactamase (EC 3.5.2.6) => CTX-M family, extended-spectrum"	MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-2			100	100	100	1e-162
pVA569-6	BLAT	Antibiotic Resistance	NDARO	Klebsiella pneumoniae pVA569-6	fig|573.39896.peg.4	WP_000259031.1	Bacteria		Dihydropteroate synthase type-2 (EC 2.5.1.15) @ Sulfonamide resistance protein	MULTISPECIES: sulfonamide-resistant dihydropteroate synthase Sul1			100	100	100	1e-156
